H|92.142.78.162:6346|76
H|50.122.17.185:6346|816
H|188.30.26.228:44627|844
H|88.122.104.30:6346|847
H|84.102.85.201:6346|953
H|90.215.45.52:41728|1438
H|93.15.2.197:59804|1606
H|92.148.178.8:6346|1968
H|65.27.124.63:25594|2040
H|180.157.110.40:39033|2145
H|142.196.43.85:6346|2404
H|81.240.221.239:57344|2541
H|80.118.250.106:6346|2693
H|177.16.200.175:6346|2917
H|86.214.75.139:6346|2994
H|88.138.191.229:6346|3592
H|90.61.45.186:6346|4109
H|87.205.196.179:6346|4754
H|46.9.157.175:6346|4789
H|91.194.90.100:6346|5119
H|173.74.170.31:48495|7730
H|92.89.185.228:6346|7960
H|86.201.211.126:6346|9827
H|87.205.247.66:6346|10151
H|88.178.223.193:6346|10723
H|90.22.17.191:6346|11348
H|24.47.166.33:55069|12466
H|184.163.24.20:6346|15147
H|190.21.240.134:11285|21675
H|77.194.13.196:6346|23046
U|http://fascination77.free.fr/cachechu/|58426
U|http://uswest.gnutella.dyslexicfish.net:3559/|37438
U|http://cache.w3-hidden.cc/|74578
U|http://buriti2.serveftp.com:8080/skulls.php|61200
U|http://gweb.dwbo.nl/|50476
U|http://useast.gnutella.dyslexicfish.net:3559/|2040
U|http://cache.ibel.de/|23652
U|http://cache.ce3c.be|5452
U|http://tenafly5k.com/gwc/skulls.php|45807
U|http://webcache.peerproject.org/|64749
U|http://cache.peernix.com/gwc.php|75056
I|access|period|1800
